"year","sector","maara","sector2","col","ran","decim","si","lab"
2013,"ets",31.524,"Päästökauppasektori",NA,0,NA,NA,NA
2014,"ets",28.813,"Päästökauppasektori",NA,0,NA,NA,NA
2015,"ets",25.524,"Päästökauppasektori",NA,0,NA,NA,NA
2016,"ets",27.303,"Päästökauppasektori",NA,0,NA,NA,NA
2017,"ets",25.237,"Päästökauppasektori",NA,0,NA,NA,NA
2018,"ets",26.387,"Päästökauppasektori",NA,0,NA,NA,NA
2019,"ets",23.453,"Päästökauppasektori",NA,0,NA,NA,NA
2020,"ets",19.669,"Päästökauppasektori",NA,0,NA,NA,NA
2021,"ets",20.394,"Päästökauppasektori",NA,0,NA,NA,NA
2022,"ets",19.158,"Päästökauppasektori",NA,0,NA,NA,NA
2023,"ets",15.497,"Päästökauppasektori",NA,0,NA,NA,NA
2013,"esd",31.294,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2014,"esd",29.839,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2015,"esd",29.552,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2016,"esd",30.647,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2017,"esd",29.839,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2018,"esd",29.736,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2019,"esd",29.278,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2020,"esd",28.101,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2021,"esd",27.404,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2022,"esd",26.536,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2023,"esd",25.501,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2005,"ghg",69.883,"Kokonaispäästöt",NA,0,NA,NA,NA
2005,"lulucf",-24.242,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2006,"ghg",81.278,"Kokonaispäästöt",NA,0,NA,NA,NA
2006,"lulucf",-28.154,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2007,"ghg",79.566,"Kokonaispäästöt",NA,0,NA,NA,NA
2007,"lulucf",-18.655,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2008,"ghg",71.422,"Kokonaispäästöt",NA,0,NA,NA,NA
2008,"lulucf",-21.289,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2009,"ghg",67.73,"Kokonaispäästöt",NA,0,NA,NA,NA
2009,"lulucf",-32.524,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2010,"ghg",75.698,"Kokonaispäästöt",NA,0,NA,NA,NA
2010,"lulucf",-21.039,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2011,"ghg",67.933,"Kokonaispäästöt",NA,0,NA,NA,NA
2011,"lulucf",-20.553,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2012,"ghg",62.305,"Kokonaispäästöt",NA,0,NA,NA,NA
2012,"lulucf",-22.356,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2013,"ghg",62.819,"Kokonaispäästöt",NA,0,NA,NA,NA
2013,"lulucf",-15.604,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2014,"ghg",58.652,"Kokonaispäästöt",NA,0,NA,NA,NA
2014,"lulucf",-16.475,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2015,"ghg",55.076,"Kokonaispäästöt",NA,0,NA,NA,NA
2015,"lulucf",-11.321,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2016,"ghg",57.95,"Kokonaispäästöt",NA,0,NA,NA,NA
2016,"lulucf",-6.681,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2017,"ghg",55.075,"Kokonaispäästöt",NA,0,NA,NA,NA
2017,"lulucf",-3.11,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2018,"ghg",56.123,"Kokonaispäästöt",NA,0,NA,NA,NA
2018,"lulucf",7.184,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2019,"ghg",52.731,"Kokonaispäästöt",NA,0,NA,NA,NA
2019,"lulucf",3.37,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2020,"ghg",47.77,"Kokonaispäästöt",NA,0,NA,NA,NA
2020,"lulucf",1.827,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2021,"ghg",47.797,"Kokonaispäästöt",NA,0,NA,NA,NA
2021,"lulucf",11.316,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2022,"ghg",45.693,"Kokonaispäästöt",NA,0,NA,NA,NA
2022,"lulucf",12.006,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2023,"ghg",40.998,"Kokonaispäästöt",NA,0,NA,NA,NA
2023,"lulucf",11.837,"Maankäyttösektori (LULUCF)","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2005,"net",45.641,"Nettopäästöt",NA,0,NA,NA,NA
2006,"net",53.124,"Nettopäästöt",NA,0,NA,NA,NA
2007,"net",60.911,"Nettopäästöt",NA,0,NA,NA,NA
2008,"net",50.133,"Nettopäästöt",NA,0,NA,NA,NA
2009,"net",35.206,"Nettopäästöt",NA,0,NA,NA,NA
2010,"net",54.659,"Nettopäästöt",NA,0,NA,NA,NA
2011,"net",47.38,"Nettopäästöt",NA,0,NA,NA,NA
2012,"net",39.949,"Nettopäästöt",NA,0,NA,NA,NA
2013,"net",47.215,"Nettopäästöt",NA,0,NA,NA,NA
2014,"net",42.177,"Nettopäästöt",NA,0,NA,NA,NA
2015,"net",43.755,"Nettopäästöt",NA,0,NA,NA,NA
2016,"net",51.269,"Nettopäästöt",NA,0,NA,NA,NA
2017,"net",51.965,"Nettopäästöt",NA,0,NA,NA,NA
2018,"net",63.307,"Nettopäästöt",NA,0,NA,NA,NA
2019,"net",56.101,"Nettopäästöt",NA,0,NA,NA,NA
2020,"net",49.597,"Nettopäästöt",NA,0,NA,NA,NA
2021,"net",59.113,"Nettopäästöt",NA,0,NA,NA,NA
2022,"net",57.699,"Nettopäästöt",NA,0,NA,NA,NA
2023,"net",52.835,"Nettopäästöt",NA,0,NA,NA,NA
2013,"allocation",33.497,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2014,"allocation",32.977,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2015,"allocation",32.458,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2016,"allocation",31.938,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2017,"allocation",31.771,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2018,"allocation",31.185,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2019,"allocation",30.599,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2020,"allocation",30.013,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2021,"allocation",28.84,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2022,"allocation",27.97,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2023,"allocation",26.626,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2024,"allocation",25.283,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2025,"allocation",23.939,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2026,"allocation",23.1430133333333,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2027,"allocation",21.65976,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2028,"allocation",20.1765066666667,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2029,"allocation",18.6932533333333,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2030,"allocation",17.21,"Taakanjakosektorin päästökiintiö","#BC17E6",4,1,0.9,"Päästötavoite, Mt"
2009,"metsa",-46.579,"Metsämaa",NA,0,NA,NA,NA
2006,"metsa",-36.003,"Metsämaa",NA,0,NA,NA,NA
2005,"metsa",-34.625,"Metsämaa",NA,0,NA,NA,NA
2012,"metsa",-33.12,"Metsämaa",NA,0,NA,NA,NA
2008,"metsa",-31.981,"Metsämaa",NA,0,NA,NA,NA
2010,"metsa",-31.496,"Metsämaa",NA,0,NA,NA,NA
2011,"metsa",-30.9,"Metsämaa",NA,0,NA,NA,NA
2014,"metsa",-25.542,"Metsämaa",NA,0,NA,NA,NA
2013,"metsa",-25.484,"Metsämaa",NA,0,NA,NA,NA
2007,"metsa",-25.06,"Metsämaa",NA,0,NA,NA,NA
2015,"metsa",-20.3,"Metsämaa",NA,0,NA,NA,NA
2016,"metsa",-15.194,"Metsämaa",NA,0,NA,NA,NA
2017,"metsa",-10.732,"Metsämaa",NA,0,NA,NA,NA
2020,"metsa",-9.607,"Metsämaa",NA,0,NA,NA,NA
2019,"metsa",-6.078,"Metsämaa",NA,0,NA,NA,NA
2007,"puutuote",-5.61,"Puutuotteet",NA,0,NA,NA,NA
2006,"puutuote",-4.763,"Puutuotteet",NA,0,NA,NA,NA
2018,"puutuote",-4.584,"Puutuotteet",NA,0,NA,NA,NA
2017,"puutuote",-4.498,"Puutuotteet",NA,0,NA,NA,NA
2016,"puutuote",-3.818,"Puutuotteet",NA,0,NA,NA,NA
2021,"puutuote",-3.719,"Puutuotteet",NA,0,NA,NA,NA
2019,"puutuote",-3.382,"Puutuotteet",NA,0,NA,NA,NA
2022,"puutuote",-3.287,"Puutuotteet",NA,0,NA,NA,NA
2014,"puutuote",-3.027,"Puutuotteet",NA,0,NA,NA,NA
2015,"puutuote",-2.909,"Puutuotteet",NA,0,NA,NA,NA
2013,"puutuote",-2.367,"Puutuotteet",NA,0,NA,NA,NA
2010,"puutuote",-2.195,"Puutuotteet",NA,0,NA,NA,NA
2011,"puutuote",-2.171,"Puutuotteet",NA,0,NA,NA,NA
2005,"puutuote",-1.971,"Puutuotteet",NA,0,NA,NA,NA
2008,"puutuote",-1.785,"Puutuotteet",NA,0,NA,NA,NA
2012,"puutuote",-1.675,"Puutuotteet",NA,0,NA,NA,NA
2023,"puutuote",-1.656,"Puutuotteet",NA,0,NA,NA,NA
2020,"puutuote",-1.291,"Puutuotteet",NA,0,NA,NA,NA
2018,"metsa",-0.85,"Metsämaa",NA,0,NA,NA,NA
2023,"Muut",3.256,"Ruohikkoalueet",NA,0,NA,NA,NA
2022,"Muut",3.365,"Ruohikkoalueet",NA,0,NA,NA,NA
2021,"Muut",3.436,"Ruohikkoalueet",NA,0,NA,NA,NA
2014,"Muut",3.565,"Ruohikkoalueet",NA,0,NA,NA,NA
2015,"Muut",3.593,"Ruohikkoalueet",NA,0,NA,NA,NA
2012,"Muut",3.638,"Ruohikkoalueet",NA,0,NA,NA,NA
2011,"Muut",3.697,"Ruohikkoalueet",NA,0,NA,NA,NA
2013,"Muut",3.807,"Ruohikkoalueet",NA,0,NA,NA,NA
2020,"Muut",3.827,"Ruohikkoalueet",NA,0,NA,NA,NA
2017,"Muut",3.9,"Ruohikkoalueet",NA,0,NA,NA,NA
2016,"Muut",3.979,"Ruohikkoalueet",NA,0,NA,NA,NA
2018,"Muut",4.081,"Ruohikkoalueet",NA,0,NA,NA,NA
2019,"Muut",4.164,"Ruohikkoalueet",NA,0,NA,NA,NA
2010,"Muut",4.215,"Ruohikkoalueet",NA,0,NA,NA,NA
2009,"Muut",4.369,"Ruohikkoalueet",NA,0,NA,NA,NA
2008,"Muut",4.744,"Ruohikkoalueet",NA,0,NA,NA,NA
2007,"Muut",4.82,"Ruohikkoalueet",NA,0,NA,NA,NA
2006,"Muut",4.866,"Ruohikkoalueet",NA,0,NA,NA,NA
2005,"Muut",4.944,"Ruohikkoalueet",NA,0,NA,NA,NA
2023,"metsa",1.12,"Metsämaa",NA,0,NA,NA,NA
2009,"puutuote",1.646,"Puutuotteet",NA,0,NA,NA,NA
2021,"metsa",2.666,"Metsämaa",NA,0,NA,NA,NA
2022,"metsa",2.711,"Metsämaa",NA,0,NA,NA,NA
2009,"metsajapuu",-44.933,"Metsämaa ja puutuotteet","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2006,"metsajapuu",-40.766,"Metsämaa ja puutuotteet","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2005,"metsajapuu",-36.596,"Metsämaa ja puutuotteet","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2012,"metsajapuu",-34.795,"Metsämaa ja puutuotteet","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
2008,"metsajapuu",-33.766,"Metsämaa ja puutuotteet","#4ba180",3,1,0.6,"Nettopäästöt, Mt"
